block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method
d-block,Fe-O,O,Fe2O3_565814_POSCAR,-0.10347451975377,9.7531680156,-0.27540548901691,-0.17193096926313997,9.3630412949,19.1162093105,35,local_max_drop
d-block,Fe-O,O,Fe2O3_1178392_POSCAR,-0.10129558996205043,6.45604375,-0.28142436305179,-0.1801287730897396,6.197802,12.65384575,35,local_max_drop
d-block,Fe-O,O,Fe10O11_759504_POSCAR,-0.1007935035651943,6.6201369773,-0.21056935952724,-0.10977585596204571,6.0905260191,12.9754684754,35,local_max_drop
d-block,Fe-O,O,Fe2O3_705547_POSCAR,-0.09428395484173205,7.7872136364,-0.24963501462429,-0.15535105978255795,7.1881972029,14.6759026225,35,local_max_drop
d-block,Fe-O,O,Fe13O19_1195927_POSCAR,-0.09343075254807359,12.8205567026,-0.25110866394209,-0.15767791139401643,11.3412616985,24.1618184011,35,local_max_drop
d-block,Fe-O,O,Fe2O3_542896_POSCAR,-0.09303046929604952,6.7799381,-0.25799425193745,-0.1649637826414005,6.2584044,12.77757565,35,local_max_drop
d-block,Fe-O,O,Fe7O9_705558_POSCAR,-0.0895999752307288,11.158333569,-0.28375587920631,-0.19415590397558122,10.3000002175,21.0291671107,35,local_max_drop
d-block,Fe-O,O,Fe3O4_715275_POSCAR,-0.08698060366237023,3.8425608,-0.22608563850889,-0.13910503484651976,3.3991884,7.2417492,35,local_max_drop
d-block,Fe-O,O,Fe3O4_1181570_POSCAR,-0.08671956049922486,3.8131288,-0.22513184912242,-0.13841228862319516,3.3731524,7.1862812,35,local_max_drop
d-block,Fe-O,O,Fe9O10_759037_POSCAR,-0.08649303588364987,6.6402369129,-0.18439500512929,-0.09790196924564012,6.1090179599,13.0148643494,35,local_max_drop
d-block,Fe-O,O,Fe3O4_1192788_POSCAR,-0.08400783092479847,3.8462307,-0.22532792115653,-0.14132009023173153,3.40243485,7.24866555,35,local_max_drop
d-block,Fe-O,O,Fe3O4_505595_POSCAR,-0.08009560892627156,3.9166139112,-0.20211337900578,-0.12201777007950844,3.615335918,7.3813108326,35,local_max_drop
d-block,Fe-O,O,Fe8O9_763787_POSCAR,-0.07776305448787141,6.4025308414,-0.1644931304591,-0.08673007597122859,5.8903283741,12.5489604492,35,local_max_drop
d-block,Fe-O,O,Fe5O8_510746_POSCAR,-0.07696708765400975,11.3665491,-0.26584455435974,-0.18887746670573027,10.1035992,20.6281817,35,local_max_drop
d-block,Fe-O,O,Fe3O4_715811_POSCAR,-0.07372511814264554,7.8092469,-0.20310652236351,-0.12938140422086447,7.2085356,14.71742685,35,local_max_drop
d-block,Fe-O,O,Fe3O4_715558_POSCAR,-0.07355183021134792,7.8219518,-0.20314333493611,-0.12959150472476208,7.2202632,14.7413707,35,local_max_drop
d-block,Fe-O,O,Fe3O4_1271821_POSCAR,-0.07185280035390812,6.8228419829,-0.20254731449272,-0.1306945141388119,6.0355909849,12.8584329678,35,local_max_drop
d-block,Fe-O,O,Fe3O4_1271978_POSCAR,-0.07141473909680787,7.5405899642,-0.20182442769952,-0.13040968860271213,6.6705218914,14.2111118556,35,local_max_drop
d-block,Fe-O,O,Fe3O4_1271729_POSCAR,-0.07135331428050526,7.5534213822,-0.20155905365473,-0.13020573937422475,6.6818727612,14.2352941434,35,local_max_drop
d-block,Fe-O,O,Fe3O4_1181657_POSCAR,-0.07085467776688126,7.885423,-0.19965273375262,-0.12879805598573874,6.9755665,14.8609895,35,local_max_drop
d-block,Fe-O,O,Fe3O4_716052_POSCAR,-0.0702247816185127,7.7851072,-0.20320707721641,-0.1329822955978973,7.1862528,14.6719328,35,local_max_drop
d-block,Fe-O,O,Fe3O4_510252_POSCAR,-0.06949582354756542,7.8589628,-0.20117984001623,-0.13168401646866457,7.2544272,14.8111222,35,local_max_drop
d-block,Fe-O,O,Fe3O4_1181546_POSCAR,-0.06805817381253779,7.8743106,-0.20098146853,-0.13292329471746223,7.2685944,14.8400469,35,local_max_drop
d-block,Fe-O,O,Fe7O8_32939_POSCAR,-0.06486083345459277,6.6398670544,-0.13905936173634,-0.07419852828174724,6.1086776901,13.0141394267,35,local_max_drop
d-block,Fe-O,O,Fe5O7_1326275_POSCAR,-0.06476374626766601,6.857674889,-0.16269426357849,-0.097930517310824,6.0664047095,12.9240795985,35,local_max_drop
d-block,Fe-O,O,Fe8O17_1182503_POSCAR,-0.06411675523770874,7.9420708414,-0.19076052276504,-0.12664376752733125,7.3537692976,14.4133878232,35,local_max_drop
d-block,Fe-O,O,Fe4O5_1188678_POSCAR,-0.06132698529983496,6.6088424125,-0.15539303798807,-0.09406605268823504,6.0801350195,12.9533311285,35,local_max_drop
d-block,Fe-O,O,Fe10O11_799417_POSCAR,-0.06082025710741398,8.847270882,-0.15939277102545,-0.09857251391803601,8.1667115834,16.6737028161,35,local_max_drop
d-block,Fe-O,O,Fe9O13_1342828_POSCAR,-0.057163415885720506,6.695139809,-0.14369114985753,-0.0865277339718095,6.1801290544,12.6177634861,35,local_max_drop
