block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method
d-block,Cr-Ag-S,Cr,Ag,S,Cr5AgS8_676751_POSCAR,-0.060173778380712084,9.3766869,-0.21835633229079,-0.1581825539100779,9.0294022,17.0169503,35,local_max_drop
d-block,Cr-Co-O,Cr,Co,O,CrCo3O8_861562_POSCAR,-0.057674260666884664,7.5995908965,-0.14612841227219,-0.08845415160530534,7.318124567,13.7918501455,35,local_max_drop
d-block,Cr-Cu-O,Cr,Cu,O,Cr3_CuO6_2_764630_POSCAR,-0.06825763562098075,7.6605213,-0.60010138258334,-0.5318437469623593,7.2099024,22.0803261,35,local_max_drop
d-block,Cr-Cu-O,Cr,Cu,O,Cr3_CuO6_2_772337_POSCAR,-0.06780150342305302,7.5462422,-0.59260842234074,-0.5248069189176869,7.1023456,21.7509334,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr7FeO12_1245071_POSCAR,-0.21167077532708545,13.5662966989,-0.6040606386299,-0.39238986330281456,12.5613858323,24.6203162314,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr7FeO12_1244957_POSCAR,-0.19088354341705555,12.2734550407,-0.57808523696717,-0.3872016935501144,11.3643102228,22.2740480368,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr7FeO12_1245032_POSCAR,-0.18996202854834432,12.4937521935,-0.59569036023432,-0.40572833168597566,11.5682890681,22.6738465735,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr7FeO12_1245230_POSCAR,-0.17157655743451544,12.0315364603,-0.57306150472493,-0.40148494729041456,11.1403115374,21.8350106132,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr7FeO12_1245235_POSCAR,-0.17047512254026698,13.3717331103,-0.51838268894392,-0.34790756640365306,12.3812343614,24.2672193484,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr3FeO6_1244873_POSCAR,-0.17039705421268303,12.3860227972,-0.58055995484461,-0.41016290063192695,11.4685396271,22.4783376691,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr7FeO12_1245241_POSCAR,-0.16237915369420236,13.0022056775,-0.55712406203919,-0.3947449083449876,12.039079331,23.5965954887,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr3FeO6_1244931_POSCAR,-0.14156980863883162,13.6719854872,-0.53250675744006,-0.3909369488012284,12.6592458215,24.8121218102,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,CrFe7O12_1245166_POSCAR,-0.1388696080944512,13.4968036742,-0.47272057176476,-0.3338509636703088,12.458588007,25.4362838476,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr_FeO2_3_1245289_POSCAR,-0.1326352856123315,12.8522419493,-0.48892518005141,-0.3562898944390785,11.8636079532,24.2215329044,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr3FeO6_1245016_POSCAR,-0.13081665736740827,13.4198630375,-0.53960783135335,-0.4087911739859417,12.4257991088,24.3545662533,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr3FeO6_1244976_POSCAR,-0.13031191654327007,14.2564840626,-0.51565268074783,-0.3853407642045599,12.6724302779,25.872878484,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr_FeO2_3_1245256_POSCAR,-0.12530480603217659,13.213693987,-0.46290969407132,-0.3376048880391434,12.197255988,24.9027309755,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,CrFeO3_1245204_POSCAR,-0.12331687732597824,13.4674504635,-0.490852168323,-0.36753529099702176,12.4698615403,24.440928619,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr_FeO2_3_1245073_POSCAR,-0.12016029024073954,13.55888561,-0.47526482913087,-0.35510453889013044,12.5158944093,25.5532844189,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr_FeO2_3_1244915_POSCAR,-0.11624233813273094,13.4773814904,-0.4553884964579,-0.3391461583251691,12.4406598373,25.3996805012,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr2FeO4_1192780_POSCAR,-0.10990729765656826,3.9420095,-0.29353781638468,-0.18363051872811176,3.638778,7.42917175,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr10Fe5O24_771184_POSCAR,-0.10955954794899186,8.0855981073,-0.29261471399251,-0.18305516604351812,7.4866649142,14.6738632318,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,Cr3FeO6_1245083_POSCAR,-0.10870168267051011,11.2620597629,-0.60156882704754,-0.4928671443770299,10.1894826427,26.2781394469,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,CrFeO3_1245144_POSCAR,-0.09944236233852943,13.2849773952,-0.47446476003189,-0.37502239769336054,12.2630560571,25.0370727832,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,CrFeO3_1245179_POSCAR,-0.08958179166252012,12.9359959047,-0.52031957748899,-0.43073778582646993,12.4384576007,24.3793768974,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,CrFeO3_1244905_POSCAR,-0.08809657944477078,13.4891097406,-0.48874357147835,-0.40064699203357923,12.9702978275,25.4217837418,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,CrFeO3_1245260_POSCAR,-0.08722279079694378,12.4673240999,-0.49924185937196,-0.4120190685750162,11.5082991692,23.4961108037,35,local_max_drop
d-block,Cr-Fe-O,Cr,Fe,O,CrFeO3_1245072_POSCAR,-0.08624429420833679,13.4333333442,-0.49362314055346,-0.4073788463451232,12.4000000101,25.3166666872,35,local_max_drop
d-block,Cr-Fe-S,Cr,Fe,S,Cr12Fe3S20_1226707_POSCAR,-0.10746995676584453,10.897542237,-0.32136291820839,-0.2138929614425455,10.1191463629,19.0706989147,35,local_max_drop
d-block,Cr-Hf-O,Cr,Hf,O,HfCrO3_756322_POSCAR,-0.043373618165505,6.3788452,-0.16463054949994,-0.12125693133443499,5.8881648,6.8695256,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn6Cr9O20_757545_POSCAR,-0.31706695705866034,7.8490950185,-0.78908402786848,-0.47201707080981964,7.2453184786,14.7925252271,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn5Cr4O12_1222112_POSCAR,-0.20580424687582016,7.6781241789,-0.48970933385764,-0.2839050869818198,6.7921867736,14.4703109525,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn5Cr4O12_1222248_POSCAR,-0.1999142383328052,7.7053208551,-0.49057449024421,-0.2906602519114048,7.1126038663,14.5215662269,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn5Cr3O16_771053_POSCAR,-0.17779253651669127,8.1679000426,-0.31470129365206,-0.13690875713536874,6.125925032,14.2938250746,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn3CrO8_772951_POSCAR,-0.17431179526855473,11.5517738,-0.3051700356919,-0.13085824042334526,8.66383035,20.21560415,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn13Cr3O32_775873_POSCAR,-0.1657296863925791,10.2002050458,-0.29478250608686,-0.12905281969428092,7.9334928134,18.5114832313,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn15CrO32_771190_POSCAR,-0.14105958956673256,10.5107268185,-0.26941972871578,-0.12836013914904745,9.7599606172,18.3937719324,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn2CrO4_765581_POSCAR,-0.1377727671079328,7.7181473176,-0.31312547653219,-0.17535270942425718,6.8605753935,14.007008095,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn3Cr3O8_1290512_POSCAR,-0.1361495998454628,8.1037146451,-0.31911727889252,-0.1829676790470572,7.2033019068,14.706741393,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn5Cr3O16_1353690_POSCAR,-0.12349690891268156,8.4596102375,-0.2662112241002,-0.14271431518751843,7.8761888418,14.2938241944,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn2CrO4_675077_POSCAR,-0.07367204291351945,6.8722936698,-0.16280243394727,-0.08913039103375056,6.3436556952,12.9516303777,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn7CrO16_769632_POSCAR,-0.07160716433872283,8.1525262,-0.1408395831705,-0.06923241883177716,7.5702029,14.26692085,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn5Cr3O16_877768_POSCAR,-0.07100531316595841,9.334742331,-0.17753334163812,-0.1065280284721616,8.4596102375,14.2938241944,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn3CrO8_773120_POSCAR,-0.07060116307977919,8.075289656,-0.15060018528047,-0.07999902220069081,7.498483252,14.131756898,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn5Cr3O16_771133_POSCAR,-0.07035695262792369,8.1462613053,-0.15801502461376,-0.0876580719858363,7.5643854978,14.2559572843,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn2CrO4_34139_POSCAR,-0.06882064929547246,7.9725653307,-0.15649948066648,-0.08767883137100754,7.0867247384,14.4687296742,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn5CrO8_1221988_POSCAR,-0.06881992943240131,7.2672241058,-0.14643782243194,-0.0776178929995387,6.4597547607,13.1886659697,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn3Cr3O8_1221796_POSCAR,-0.0686446403867397,6.8609592367,-0.16459735167607,-0.0959527112893303,6.3331931416,12.9302693307,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn3Cr5O16_756938_POSCAR,-0.06839134879994221,8.1540220962,-0.15929695675477,-0.0909056079548278,7.5715919465,14.2695386684,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn2CrO6_753734_POSCAR,-0.06808585974697776,7.10770879,-0.11903291701273,-0.05094705726575225,5.3307815925,12.4384903825,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn5Cr2O12_755906_POSCAR,-0.0672573403851509,6.934437252,-0.15013562343874,-0.08287828305358912,6.4207752334,12.5847194574,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,MnCrO4_755908_POSCAR,-0.06708813554571666,7.8872344,-0.22282617001712,-0.15573803447140333,7.0569992,9.5477048,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn5Cr2O12_2214957_POSCAR,-0.06677657222060353,6.9591149778,-0.14868544625938,-0.08190887403877646,6.4436249794,12.6295049596,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,MnCr2O4_28226_POSCAR,-0.06213143115322023,6.9893616646,-0.14917526156339,-0.08704383041016978,6.2127659241,12.684397095,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,MnCr3O8_760027_POSCAR,-0.06189191991813851,8.1718764946,-0.14917675539743,-0.08728483547929149,7.5881710307,14.3007838655,35,local_max_drop
d-block,Cr-Mn-O,Cr,Mn,O,Mn5CrO12_1176453_POSCAR,-0.05478575359403347,7.0860801416,-0.10947957017423,-0.054693816580196536,6.5799315601,12.4006402479,35,local_max_drop
d-block,Cr-Mn-S,Cr,Mn,S,Mn2Cr13S20_1222474_POSCAR,-0.10406111920511363,10.745239488,-0.32734214702062,-0.22328102781550635,9.9777223817,18.804169104,35,local_max_drop
d-block,Cr-Mo-O,Cr,Mo,O,Cr14MoO24_674480_POSCAR,-0.1255972725962765,6.8411752469,-0.30834923097358,-0.18275195837730351,6.3344215249,12.4154661889,35,local_max_drop
