block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
s-block,Li-O,O,Li2O_1245224_POSCAR,-1.0107886950057,17.1948702636,-1.2820343792801,-0.2712456842744,14.6662128719,24.7808424387,35,local_max_drop,mp-1245224,Li2O,Triclinic,P1,1,0.149685822843137,-1.911912091045751,False,2.735999999999999,False,1.7178391162021351,102,982.079098618734,9.628226457046411,638.2928779535977,0.6499403956884311,64.9940395688431
s-block,Li-O,O,Li2O_1245303_POSCAR,-0.9772086830926724,16.274359131,-1.2503009771039,-0.2730922940112275,13.8810710235,23.4542234535,35,local_max_drop,mp-1245303,Li2O,Triclinic,P1,1,0.158574137745097,-1.9030237761437911,False,2.7845,False,1.723042170091859,102,979.1135239421714,9.599152195511484,638.2928779535977,0.651908958813745,65.1908958813745
s-block,Li-O,O,Li2O_1245092_POSCAR,-0.955589352804511,18.2343897742,-1.2137533486592,-0.2581639958546891,15.0165562847,26.2789734982,35,local_max_drop,mp-1245092,Li2O,Triclinic,P1,1,0.173222025686275,-1.888375888202614,False,2.461,False,1.617157036366032,102,1043.2220574283567,10.227667229689771,638.2928779535977,0.6118475672639163,61.18475672639163
s-block,Li-O,O,Li2O_1245009_POSCAR,-0.9362427315035566,16.7896430233,-1.2000443886817,-0.2638016571781434,13.911418505,23.5055002326,35,local_max_drop,mp-1245009,Li2O,Triclinic,P1,1,0.161850906372549,-1.8997470075163392,False,2.723,False,1.6835606574999091,102,1002.0749080710493,9.82426380461813,638.2928779535977,0.6369712212256504,63.69712212256504
s-block,Li-O,O,Li2O_755894_POSCAR,-0.1392043150762696,8.828000475,-0.17821215034441,-0.0390078352681403,7.819086135,12.359200665,35,local_max_drop,mp-755894,Li2O,Orthorhombic,Pnma,62,0.084359710833333,-1.977238203055555,False,5.4351,False,2.195570919540326,12,90.39877805466602,7.533231504555502,75.09327975924661,0.8306891019460035,83.06891019460035
s-block,Li-O,O,Li2O2_841_POSCAR,-0.0729482438316472,5.1193474695,-0.095124854844287,-0.0221766110126397,4.343688762,7.6014553335,35,local_max_drop,mp-841,Li2O2,Hexagonal,P6_3/mmc,194,0.0,-1.650170236666666,True,1.974299999999999,False,2.414495373744071,8,63.10789546996573,7.888486933745717,39.95516073705382,0.6331245946249191,63.31245946249191
s-block,Li-O,O,Li2O2_558312_POSCAR,-0.0549232533226787,5.5047190275,-0.072363276247678,-0.0174400229249992,4.67067069,8.1736737075,35,local_max_drop,mp-558312,Li2O2,Hexagonal,P6_3/mmc,194,0.142724228749999,-1.507446007916666,False,1.6379,False,2.000892516139877,8,76.1528771822725,9.519109647784063,39.95516073705382,0.5246704026877519,52.467040268775186
s-block,Li-S,S,Li2S_32899_POSCAR,-0.2949795639141629,5.3922642073,-0.39548765464382,-0.1005080907296571,4.5225441739,8.5232563277,35,local_max_drop,mp-32899,Li2S,Trigonal,R3m,160,0.075129093939395,-1.42832419411616,False,1.875399999999999,False,1.651171226497652,33,508.284458562691,15.402559350384575,246.59918549103438,0.4851597984883483,48.51597984883483
s-block,Li-S,S,Li2S_723352_POSCAR,-0.2898079078650494,6.1850648582,-0.39031370657533,-0.1005057987102806,5.1874737521,9.7763928404,35,local_max_drop,mp-723352,Li2S,Triclinic,P1,1,0.081990143030304,-1.421463145025251,False,1.9206999999999992,False,1.6511715701994891,33,508.28435312450006,15.402556155287881,246.59918549103438,0.48515989912959595,48.5159899129596
s-block,Li-S,S,Li2S_1125_POSCAR,-0.1329885722114362,5.686680645,-0.17614481557218,-0.0431562433607437,4.928456559,9.2882450535,35,local_max_drop,mp-1125,Li2S,Orthorhombic,Pnma,62,0.061509288333333,-1.441943999722222,False,3.895399999999999,False,1.785844636617404,12,170.8923316814056,14.241027640117133,89.67243108764892,0.5247305727844193,52.47305727844193
s-block,Mg-O,O,MgO_1245039_POSCAR,-0.2688980788391594,14.602960268,-0.51019799859777,-0.2412999197586106,12.6558988989,23.8515017711,35,local_max_drop,mp-1245039,MgO,Triclinic,P1,1,0.254344622249999,-2.78396454775,False,1.9229,False,2.9362748446515363,80,911.7270587501938,11.396588234377422,517.8546038146712,0.5679930181347831,56.79930181347831
s-block,Mg-O,O,MgO_1245128_POSCAR,-0.2452129276013956,15.508749369,-0.47716889683257,-0.2319559692311744,13.4409161198,25.3309573027,35,local_max_drop,mp-1245128,MgO,Triclinic,P1,1,0.345553548874999,-2.692755621125,False,1.9477,False,2.8198755406764717,80,949.361484329221,11.867018554115262,517.8546038146712,0.5454767360617812,54.547673606178115
s-block,Mg-O,O,MgO_1244962_POSCAR,-0.2447030261970864,15.5370108161,-0.47842139188612,-0.2337183656890336,13.465409374,25.3771176663,35,local_max_drop,mp-1244962,MgO,Triclinic,P1,1,0.329301713125,-2.709007456874999,False,2.202499999999999,False,2.836858446794562,80,943.6781141724106,11.795976427155132,517.8546038146712,0.5487619094237666,54.87619094237666
s-block,Mg-O,O,MgO_1245045_POSCAR,-0.2424789347312935,14.686524985,-0.46958392597543,-0.2271049912441365,12.7283216537,23.9879908088,35,local_max_drop,mp-1245045,MgO,Triclinic,P1,1,0.315693535999999,-2.7226156340000003,False,2.8658,False,2.783927725155665,80,961.6202334992632,12.020252918740791,517.8546038146712,0.5385229904431581,53.852299044315814
s-block,Mg-O,O,MgO_1245232_POSCAR,-0.2368498521482266,13.9955425222,-0.45964545021601,-0.2227955980677833,12.1294701859,22.8593861195,35,local_max_drop,mp-1245232,MgO,Triclinic,P1,1,0.321598577624999,-2.716710592375,False,1.887699999999999,False,2.744196328270419,80,975.5428948510352,12.194286185637939,517.8546038146712,0.5308373486680433,53.083734866804335
s-block,Mg-O,O,MgO_1245143_POSCAR,-0.2348218675479864,15.1462497359,-0.44768676629672,-0.2128648987487335,13.1267497711,24.7388745687,35,local_max_drop,mp-1245143,MgO,Triclinic,P1,1,0.341307611625,-2.697001558374999,False,1.877299999999999,False,2.68981320454016,80,995.2665956355064,12.44083244544383,517.8546038146712,0.5203174768304226,52.03174768304226
s-block,Mg-O,O,MgO_1245157_POSCAR,-0.2330425409760055,14.2829375968,-0.45602710182047,-0.2229845608444644,12.3785459172,23.3287980748,35,local_max_drop,mp-1245157,MgO,Triclinic,P1,1,0.348319771499999,-2.6899893985,False,2.081499999999999,False,2.728925953408256,80,981.0017844596389,12.262522305745486,517.8546038146712,0.527883447327182,52.788344732718194
s-block,Mg-O,O,MgO_1245195_POSCAR,-0.2318400253252154,14.5215550046,-0.45097774051149,-0.2191377151862745,12.5853476706,23.7185398408,35,local_max_drop,mp-1245195,MgO,Triclinic,P1,1,0.344737086749999,-2.69357208325,False,2.074999999999999,False,2.731932072836869,80,979.9223261811262,12.249029077264078,517.8546038146712,0.5284649507199333,52.846495071993324
s-block,Mg-O,O,MgO_1190533_POSCAR,-0.079433292091449,14.50217931,-0.13954394329606,-0.060110651204611,12.568555402,23.686892873,35,local_max_drop,mp-1190533,MgO,Hexagonal,P6/mcc,192,0.113092129583333,-2.925217040416666,False,3.0171,False,2.368749037998974,24,339.05000299608236,14.127083458170098,155.3563811444012,0.4582108236884349,45.82108236884349
