block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
s-block,Na-Ba-O,Na,Ba,O,BaNa6O4_755322_POSCAR,-0.1860668062166302,12.848592448,-0.26557115248862,-0.0795043462719897,11.242518392,19.674407186,35,local_max_drop,mp-755322,BaNa6O4,Tetragonal,P4_2/nmc,137,0.018034260454546,-1.661868793025077,False,1.8735,False,3.113529296226795,22,361.8786077778055,16.449027626263884,322.82281447583273,0.8920748768715472,89.20748768715472
s-block,Na-Ba-O,Na,Ba,O,BaNa2O2_756521_POSCAR,-0.1767392562187892,10.80806785,-0.24436113913373,-0.0676218829149408,9.41347845,17.08372015,35,local_max_drop,mp-756521,BaNa2O2,Monoclinic,P2_1/c,14,0.088983384000001,-1.895916910551723,False,1.9497,False,3.687079632697593,20,387.8656950537391,19.393284752686956,329.43928506444627,0.8493643270483155,84.93643270483156
s-block,Na-Ba-O,Na,Ba,O,BaNa4O3_756084_POSCAR,-0.1438781355420102,10.6316971859,-0.20153483401935,-0.0576566984773397,9.259865291,16.8049407132,35,local_max_drop,mp-756084,BaNa4O3,Monoclinic,Cc,9,0.056037681250001,-1.719177010064655,False,1.7869000000000002,False,3.086961243518458,16,298.3136733185796,18.644604582411226,243.771228504028,0.817164113840991,81.7164113840991
s-block,Na-Ba-O,Na,Ba,O,BaNa4O3_756090_POSCAR,-0.1374669495691469,14.6237480081,-0.19071136891552,-0.0532444193463731,12.7368127813,23.114956529,35,local_max_drop,mp-756090,BaNa4O3,Monoclinic,Cc,9,0.093926581250001,-1.6812881100646542,False,1.5476,False,2.966503916066661,16,310.42694553453083,19.401684095908177,243.771228504028,0.7852772834660763,78.52772834660763
s-block,Na-Ba-O,Na,Ba,O,Ba2Na2O3_752689_POSCAR,-0.1210162706748418,9.3599044,-0.16596083114281,-0.0449445604679681,8.1521748,14.7946876,35,local_max_drop,mp-752689,Ba2Na2O3,Monoclinic,P2_1/c,14,0.086927897857142,-2.137613086108374,False,2.2975,False,4.41141962238619,14,277.51946342284174,19.822818815917266,250.38769909264158,0.9022347333928759,90.22347333928758
s-block,Na-Ba-O,Na,Ba,O,BaNa2O2_755391_POSCAR,-0.0807883731848228,10.992165808,-0.1128965374924,-0.0321081643075771,9.2746399005,16.8317538935,35,local_max_drop,mp-755391,BaNa2O2,Orthorhombic,Cmc2_1,36,0.061551496000001,-1.923348798551724,False,1.5152,False,3.615630360957872,10,197.76519739836505,19.776519739836505,164.7196425322232,0.8329051051405314,83.29051051405314
s-block,Na-Ba-O,Na,Ba,O,Ba2NaO_1019519_POSCAR,-0.0636297924539813,11.406530241,-0.088528244170813,-0.0248984517168316,9.716673909,20.700740067,35,local_max_drop,mp-1019519,Ba2NaO,Orthorhombic,Cmme,67,0.0,-1.448841951594827,True,0.0,True,2.855418573709402,8,364.7918664448433,45.598983305605415,207.2491248205934,0.5681297854592642,56.81297854592642
s-block,Na-Be-O,Na,Be,O,Na2BeO2_28588_POSCAR,-0.2672822139103636,8.438605152,-0.4137344673958,-0.1464522534854364,7.120073097,12.921614139,35,local_max_drop,mp-28588,Na2BeO2,Monoclinic,P2_1/c,14,0.0,-2.171202476301724,True,2.725,False,2.496288066967429,40,462.9310525571902,11.573276313929755,355.48821524191624,0.7679074740789817,76.79074740789818
s-block,Na-Be-O,Na,Be,O,Na6BeO4_755546_POSCAR,-0.1592471897816658,12.434874213,-0.24518905512255,-0.0859418653408841,10.971947835,17.9208481305,35,local_max_drop,mp-755546,Na6BeO4,Hexagonal,P6_3mc,186,0.034635468977272,-1.729950394388714,False,1.9848,False,2.621223760425118,22,267.27062453457876,12.148664751571761,246.97522575408865,0.924064237078683,92.4064237078683
s-block,Na-Be-O,Na,Be,O,Na6Be8O11_28559_POSCAR,-0.1246783869055815,8.0522480991,-0.20746029873642,-0.0827819118308384,7.0132483444,12.7277469954,35,local_max_drop,mp-28559,Na6Be8O11,Triclinic,P-1,2,0.0,-2.547090591731034,True,3.6417,False,2.50154612767694,25,256.248330235273,10.24993320941092,157.85925031240433,0.6160401129929968,61.60401129929968
