chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
Co-Cu-O,Co9Cu3O16_767737_POSCAR,mp-767737,Co9Cu3O16,,,,,,,,,,28,276.92044640559885,9.890015943057103,123.58281570081886,0.4462755181313337,44.62755181313337
Co-Hf-O,HfCoO3_753534_POSCAR,mp-753534,HfCoO3,,,,,,,,,,20,229.8166236876694,11.49083118438347,137.7649367384505,0.5994559250234175,59.945592502341746
Co-Mo-O,Co4_MoO4_3_1213876_POSCAR,mp-1213876,Co4(MoO4)3,,,,,,,,,,76,979.6362973886892,12.88995128143012,375.45379891529643,0.3832583581438368,38.32583581438368
Co-Nb-O,Nb2Co4O9_1232651_POSCAR,mp-1232651,Nb2Co4O9,,,,,,,,,,30,337.62130353665,11.254043451221666,162.61600695863805,0.48165209142670556,48.165209142670555
Co-Nb-O,Nb2Co4O9_1275198_POSCAR,mp-1275198,Nb2Co4O9,,,,,,,,,,30,337.8356775079552,11.261189250265174,162.61600695863805,0.48134645860429837,48.134645860429835
Co-Nb-O,Nb2Co4O9_1276507_POSCAR,mp-1276507,Nb2Co4O9,,,,,,,,,,30,337.7815489055017,11.259384963516725,162.61600695863805,0.4814235931049382,48.14235931049382
Co-Nb-O,Nb2Co4O9_1291928_POSCAR,mp-1291928,Nb2Co4O9,,,,,,,,,,30,337.6551954241473,11.25517318080491,162.61600695863805,0.4816037459585573,48.16037459585573
Co-Nb-O,Nb2Co4O9_2767524_POSCAR,mp-2767524,Nb2Co4O9,,,,,,,,,,30,323.25551060470906,10.775183686823635,162.61600695863805,0.5030571842516616,50.305718425166155
Co-Nb-O,Nb2Co4O9_31513_POSCAR,mp-31513,Nb2Co4O9,,,,,,,,,,30,325.26840231897427,10.842280077299142,162.61600695863805,0.4999440640384391,49.99440640384391
Co-Nb-S,Nb2CoS4_1193022_POSCAR,mp-1193022,Nb2CoS4,,,,,,,,,,28,510.4941217736297,18.231932920486773,258.91354592030285,0.5071822277223279,50.71822277223279
