block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
d-block,Co-Y-O,Co,Y,O,Y_CoO2_3_1045123_POSCAR,-0.1514307924963885,8.0245770098,-0.28301120268084,-0.1315804101844514,6.5916168295,14.0430097672,35,local_max_drop,mp-1045123,Y(CoO2)3,,,,,,,,,,40,479.6327789173807,11.990819472934517,244.3757630839629,0.5095059675353381,50.95059675353381
d-block,Co-Y-O,Co,Y,O,YCoO3_1330514_POSCAR,-0.1246047306958596,8.9403438075,-0.2254860259603,-0.1008812952644404,7.39890522,15.1060981575,35,local_max_drop,mp-1330514,YCoO3,,,,,,,,,,30,376.2581360727808,12.541937869092694,244.33709217279238,0.6493868670138989,64.9386867013899
d-block,Co-Y-O,Co,Y,O,YCoO3_22668_POSCAR,-0.124389949450015,7.461389468,-0.19880468757729,-0.0744147381272749,6.174943008,12.607175308,35,local_max_drop,mp-22668,YCoO3,,,,,,,,,,20,205.826268147834,10.291313407391701,162.8913947818616,0.7914023620389669,79.14023620389669
d-block,Co-Y-O,Co,Y,O,YCoO3_1288734_POSCAR,-0.1193342309974908,7.3321951596,-0.19695583826389,-0.0776216072663991,6.546602821,12.8313415292,35,local_max_drop,mp-1288734,YCoO3,,,,,,,,,,20,225.35994082726717,11.267997041363358,162.8913947818616,0.722805455947088,72.2805455947088
d-block,Co-Y-O,Co,Y,O,YCoO3_1273178_POSCAR,-0.1164023013977877,7.3879212889,-0.19506253512106,-0.0786602337232722,6.5963582937,12.9288622556,35,local_max_drop,mp-1273178,YCoO3,,,,,,,,,,20,226.93867725522597,11.346933862761299,162.8913947818616,0.7177771402918077,71.77771402918077
d-block,Co-Y-O,Co,Y,O,Y2Co2O7_1369302_POSCAR,-0.0889622273172909,8.8038099807,-0.16284294789838,-0.073880720581089,7.5894913627,14.8754030708,35,local_max_drop,mp-1369302,Y2Co2O7,,,,,,,,,,22,243.6694489749219,11.075884044314632,165.29991563929212,0.6783776806435203,67.83776806435203
d-block,Co-Y-O,Co,Y,O,Y_CoO2_2_1383697_POSCAR,-0.0808890885717,7.0342678091,-0.13580819254842,-0.0549191039767199,5.7781485575,12.3099686659,35,local_max_drop,mp-1383697,Y(CoO2)2,,,,,,,,,,14,153.29310476028323,10.949507482877374,100.61252903774098,0.6563408653968937,65.63408653968938
d-block,Co-Y-O,Co,Y,O,Y2Co2O5_1187759_POSCAR,-0.0748599572382479,5.2787098,-0.11120926216849,-0.036349304930242,4.5246084,9.23774215,35,local_max_drop,mp-1187759,Y2Co2O5,,,,,,,,,,9,96.25469295713921,10.69496588412658,80.24143696221562,0.8336366206886758,83.36366206886758
d-block,Co-Zn-O,Co,Zn,O,Zn5Co19O32_861852_POSCAR,-0.2116823229251362,7.4214641907,-0.45666445653094,-0.2449821336058037,6.5651413994,13.9866055901,35,local_max_drop,mp-861852,Zn5Co19O32,,,,,,,,,,56,544.6599101241369,9.726069823645302,235.7713177968988,0.43287804630813137,43.287804630813135
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1350001_POSCAR,-0.1960724623500824,7.5361012434,-0.45688509435037,-0.2608126320002875,6.9564011477,14.2026523433,35,local_max_drop,mp-1350001,Zn(CoO2)2,,,,,,,,,,56,564.1291965578012,10.073735652817877,233.45247056017234,0.4138280237659222,41.382802376592224
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_530742_POSCAR,-0.1861978569844515,6.688636315,-0.435298755113,-0.2491008981285485,6.1741258293,12.6055069014,35,local_max_drop,mp-530742,Zn(CoO2)2,,,,,,,,,,56,593.939281179024,10.60605859248257,233.45247056017234,0.3930578056678585,39.30578056678585
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1379105_POSCAR,-0.150693593706391,7.6200411998,-0.34528131876416,-0.194587725057769,7.0338841844,14.3608468765,35,local_max_drop,mp-1379105,Zn(CoO2)2,,,,,,,,,,42,421.24371646232294,10.029612296721975,175.08935292012927,0.4156485808039102,41.56485808039102
d-block,Co-Zn-O,Co,Zn,O,ZnCo5O7_1370323_POSCAR,-0.1440656467982649,6.597621888,-0.27221584712824,-0.1281502003299751,5.582603136,12.433979712,35,local_max_drop,mp-1370323,ZnCo5O7,,,,,,,,,,26,244.73297854948095,9.41280686728773,115.86361258047353,0.4734286865104607,47.342868651046075
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1040942_POSCAR,-0.140938606314202,7.740334836,-0.32294920117006,-0.1820105948558579,7.144924464,14.587554114,35,local_max_drop,mp-1040942,Zn(CoO2)2,,,,,,,,,,42,449.47844959547245,10.701867847511249,175.08935292012927,0.38953892690007386,38.953892690007386
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1041156_POSCAR,-0.1389283871804407,7.738980691,-0.32421728418472,-0.1852888970042792,7.143674484,14.5850020715,35,local_max_drop,mp-1041156,Zn(CoO2)2,,,,,,,,,,42,451.3459558015855,10.746332280990131,175.08935292012927,0.3879271558092783,38.792715580927826
d-block,Co-Zn-O,Co,Zn,O,Zn2Co9O13_1045890_POSCAR,-0.1296378327266763,6.3959715405,-0.25096312772037,-0.1213252949936936,5.6284549556,12.5361042193,35,local_max_drop,mp-1045890,Zn2Co9O13,,,,,,,,,,24,240.74934245626437,10.031222602344348,106.28019675706848,0.441455813223564,44.1455813223564
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1340366_POSCAR,-0.1294938850529038,3.65925,-0.26630253556426,-0.1368086505113561,3.22014,7.17213,35,local_max_drop,mp-1340366,Zn(CoO2)2,,,,,,,,,,28,276.36778478624694,9.870278028080248,116.72623528008643,0.4223583272209777,42.23583272209777
d-block,Co-Zn-O,Co,Zn,O,Zn_CoO2_2_1042295_POSCAR,-0.1293625451292976,3.6592452395,-0.26606246979486,-0.1366999246655623,3.2201358107,7.1721206694,35,local_max_drop,mp-1042295,Zn(CoO2)2,,,,,,,,,,28,276.36670218178807,9.870239363635289,116.72623528008643,0.42235998171482475,42.23599817148248
