block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,metal
d-block,Ti-O,O,Ti5O8_759920_POSCAR,-0.2189112724203549,7.8970588645,-0.33491000850185,-0.115998736081495,7.3524341153,13.3433063573,35,local_max_drop,Ti
d-block,Ti-O,O,Ti4O7_12205_POSCAR,-0.2185507642842827,8.0732924114,-0.34457522776168,-0.1260244634773973,7.5165136244,13.6410802813,35,local_max_drop,Ti
d-block,Fe-O,O,FeO_1245168_POSCAR,-0.2177336507720532,13.1212368071,-0.55992833580128,-0.3421946850292267,12.0715378625,25.7176241419,35,local_max_drop,Fe
d-block,Zr-S,S,Zr23S32_673649_POSCAR,-0.2175127554068116,10.5944673634,-0.46002774384014,-0.2425149884333284,9.8638144418,17.9009965795,35,local_max_drop,Zr
d-block,V-O,O,V2O3_21579_POSCAR,-0.2159924036663782,10.9441193147,-0.35486271620418,-0.1388703125378017,10.1623965065,19.1522088007,35,local_max_drop,V
d-block,Y-S,S,Y2S3_32891_POSCAR,-0.2155435175171478,11.1465844451,-0.38910549488486,-0.1735619773677121,9.5542152386,19.5065227788,35,local_max_drop,Y
d-block,Co-O,O,Co23O32_2740066_POSCAR,-0.2154522414443121,9.8910394103,-0.43595153022094,-0.2204992887766279,8.4257002384,17.9504048558,35,local_max_drop,Co
d-block,Cr-O,O,Cr2O3_1244912_POSCAR,-0.2149914922612057,13.4011938194,-0.58837731004567,-0.3733858177844642,12.4085127957,24.3206850796,35,local_max_drop,Cr
d-block,V-O,O,V10O9_705541_POSCAR,-0.2147640142396791,7.1213004752,-0.30411979158521,-0.0893557773455309,6.3300448668,12.9238416031,35,local_max_drop,V
d-block,Cr-O,O,Cr2O3_1244988_POSCAR,-0.2119824152366922,13.7776409009,-0.5684113847102,-0.3564289694735078,12.7570749083,25.0038668202,35,local_max_drop,Cr
d-block,Zr-O,O,Zr19O40_685070_POSCAR,-0.210852792217753,11.3174968222,-0.41453886819826,-0.2036860759805069,10.9272383111,19.1226670444,35,local_max_drop,Zr
d-block,Ti-O,O,Ti11O14_1101463_POSCAR,-0.2107505647901126,15.4584078355,-0.30141266743203,-0.0906621026419173,13.8592621973,26.1193787565,35,local_max_drop,Ti
d-block,Nb-O,O,NbO2_1244973_POSCAR,-0.2093230937452945,16.9462967144,-0.51128182262518,-0.3019587288798854,15.8165436001,27.6789513002,35,local_max_drop,Nb
d-block,Zr-S,S,Zr3S4_1329763_POSCAR,-0.2092660048176782,10.9752187561,-0.43805398106038,-0.2287879762427017,10.2435375057,17.926190635,35,local_max_drop,Zr
d-block,Cr-O,O,Cr2O3_1245327_POSCAR,-0.2092457943312902,13.538344552,-0.53606810373723,-0.3268223094059398,12.5355042148,24.5695882611,35,local_max_drop,Cr
d-block,Ti-O,O,Ti11O14_759754_POSCAR,-0.2085253559607899,7.1525743555,-0.30050630607618,-0.09198095011539,6.6592933654,12.0853842558,35,local_max_drop,Ti
d-block,Fe-O,O,Fe21O23_706875_POSCAR,-0.207581693985602,8.2700874221,-0.43791507045927,-0.2303333764736679,7.6084804283,16.2093713473,35,local_max_drop,Fe
d-block,Ti-O,O,Ti11O14_2739250_POSCAR,-0.2073694273327124,7.1350206623,-0.29724033182038,-0.0898709044876675,6.6429502718,12.0557245673,35,local_max_drop,Ti
d-block,Sc-O,O,Sc2O3_775837_POSCAR,-0.2062311133974364,7.91391295,-0.31572657530381,-0.1094954619063735,7.36812585,13.37178395,35,local_max_drop,Sc
d-block,Zn-S,S,ZnS_647075_POSCAR,-0.2049524028841517,5.011672445,-0.72184295674328,-0.5168905538591283,4.8189158125,9.4450749925,35,local_max_drop,Zn
d-block,Zn-O,O,ZnO_1245109_POSCAR,-0.2045787050979867,12.9011916602,-0.5343376106218,-0.3297589055238132,11.9087923017,24.3137842826,35,local_max_drop,Zn
d-block,Co-O,O,Co23O32_705564_POSCAR,-0.2043510323864294,9.8040115447,-0.43332187480738,-0.2289708424209505,8.6727794434,18.4767909882,35,local_max_drop,Co
