block,chemsys,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,metal
d-block,Mo-O,O,Mo4O5_543061_POSCAR,-0.095623290981335,8.4220595164,-0.26802953127154,-0.1724062402902049,7.8204838367,14.7386041537,35,local_max_drop,mp-543061,Mo4O5,Tetragonal,I4_1md,109,0.6811400525,-1.003489271111111,False,0.0,True,6.336928520439955,36,486.09455773154417,13.502626603654004,268.86229127020863,0.553106976809013,55.3106976809013,Mo
d-block,Mo-S,S,Mo7S8_673645_POSCAR,-0.065983674271478,9.3130183255,-0.23571454026172,-0.1697308659902419,8.6707411996,15.7357895844,35,local_max_drop,mp-673645,Mo7S8,Triclinic,P1,1,0.123421140333334,-0.649492895833333,False,0.0,True,5.689602949477235,30,541.741250453034,18.0580416817678,291.76471953196886,0.5385684019593838,53.85684019593838,Mo
d-block,Nb-O,O,Nb12O29_510554_POSCAR,-0.0593780019443679,14.8639712612,-0.1497853037708,-0.090407301826432,13.8730398438,24.2778197266,35,local_max_drop,mp-510554,Nb12O29,Monoclinic,C2/m,12,0.000529339878047,-3.038560369878048,False,0.0,True,4.352814068895341,41,602.3131873748325,14.690565545727624,256.6417806854781,0.4260935773364769,42.6093577336477,Nb
d-block,Nb-S,S,Nb3S5_1220657_POSCAR,-0.0649555658660609,8.4320013552,-0.14474915475805,-0.079793588891989,7.2689666855,14.2471747036,35,local_max_drop,mp-1220657,Nb3S5,Triclinic,P1,1,0.000468602187501,-1.419639321562498,False,0.0657,False,4.898179977139635,16,297.68197577182474,18.60512348573905,159.34959673452616,0.5353014616399506,53.53014616399506,Nb
d-block,Ni-O,O,Ni5O4_1094094_POSCAR,-0.0548140802716701,5.69939875,-0.11027809600502,-0.0554640157333498,5.24344685,11.17082155,35,local_max_drop,mp-1094094,Ni5O4,Cubic,P-43m,215,0.8089165733333331,-0.273825915555554,False,0.0,True,6.26217280475596,9,94.78881400010718,10.532090444456353,44.749281391914295,0.4720945384110798,47.20945384110798,Ni
d-block,Ni-S,S,Ni3S2_850086_POSCAR,-0.0833111801199243,7.79647626,-0.15621676735008,-0.0729055872301556,7.2189595,14.14916062,35,local_max_drop,mp-850086,Ni3S2,Orthorhombic,Cmcm,63,0.134021547,-0.437429305999999,False,0.0,True,6.533838826018222,10,122.09619259145038,12.209619259145038,67.31488065572726,0.5513266157362625,55.13266157362625,Ni
d-block,Pd-O,O,Pd7O8_1219936_POSCAR,-0.0571638749003818,7.1951275,-0.17195602551199,-0.1147921506116081,6.9073224,14.1024499,35,local_max_drop,mp-1219936,Pd7O8,Cubic,Pm-3,200,0.056279377666666,-0.7210870933333321,False,0.0,True,7.600561197375426,15,190.7152596456733,12.71435064304489,88.38054535663973,0.4634162233312659,46.341622333126594,Pd
d-block,Pd-S,S,Pd3S_558378_POSCAR,-0.0703960055736158,5.919125043,-0.15752797080641,-0.0871319652327941,5.463807732,11.1552741195,35,local_max_drop,mp-558378,Pd3S,Orthorhombic,Cmcm,63,0.0,-0.262081896953123,True,0.0,True,9.224573992911775,8,126.4858168756918,15.810727109461476,77.19506388756102,0.6103060864399292,61.03060864399292,Pd
d-block,Rh-O,O,Rh2O3_1189664_POSCAR,-0.0685411233742755,3.75801795,-0.17160266370137,-0.1030615403270945,3.47964625,6.82010665,35,local_max_drop,mp-1189664,Rh2O3,Orthorhombic,Pnma,62,0.298614513499998,-0.798444742,False,0.0,True,7.184581499400283,20,234.64698234555385,11.73234911727769,110.40082696764256,0.4704975357622982,47.04975357622983,Rh
d-block,Rh-S,S,Rh17S15_21991_POSCAR,-0.2544271733254264,13.9242096,-0.72864553689384,-0.4742183635684136,12.9296232,24.3673668,35,local_max_drop,mp-21991,Rh17S15,Cubic,Pm-3m,221,0.0,-0.541647407412106,True,0.0,True,7.528841716620978,64,983.8469625381532,15.372608789658644,553.2576805724774,0.5623411990266954,56.23411990266954,Rh
