chemsys,source,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent
V-O,V2O3_776630_POSCAR,mp-776630,V2O3,Monoclinic,P2_1/m,11,0.060644026250001,-2.473903667000001,False,0.945299999999999,False,4.740151748367431,30,315.0324307882871,10.501081026276237,201.7063835803334,0.6402718065426324,64.02718065426323
V-O,V2O3_776688_POSCAR,mp-776688,V2O3,Monoclinic,P2_1/c,14,0.095382107750001,-2.439165585499999,False,1.433199999999999,False,4.20665056757022,20,236.6572488826495,11.832862444132475,134.47092238688901,0.568209607023568,56.82096070235681
V-O,V2O3_777698_POSCAR,mp-777698,V2O3,Monoclinic,C2/m,12,0.083403238249999,-2.451144455000001,False,0.0,True,4.724242442422593,15,158.0466650000748,10.53644433333832,100.85319179016682,0.638122872065153,63.81228720651529
V-O,V2O3_780654_POSCAR,mp-780654,V2O3,Orthorhombic,Pbca,61,0.030721300500001,-2.503826392749999,False,0.620899999999999,False,4.704386877724395,40,423.2365992301684,10.58091498075421,268.9418447737779,0.6354408982185388,63.54408982185388
V-O,V2O3_796380_POSCAR,mp-796380,V2O3,Triclinic,P-1,2,2.913870370750001,0.3793226775,False,0.0,True,4.537620887630232,40,438.7913296037252,10.96978324009313,268.9418447737779,0.6129151298788441,61.29151298788441
V-O,V2O5_1244889_POSCAR,mp-1244889,V2O5,Triclinic,P1,1,0.108118662047619,-2.180903155095238,False,0.5422,False,2.488547907596506,105,1820.452268858695,17.337640655797095,540.3937718122925,0.29684588882469526,29.684588882469527
V-O,V2O5_1244901_POSCAR,mp-1244901,V2O5,Triclinic,P1,1,0.5287774096666671,-1.7602444074761912,False,0.4765,False,2.701749468535555,105,1676.7959922170712,15.969485640162583,540.3937718122925,0.3222775903094688,32.22775903094688
V-O,V2O5_1244904_POSCAR,mp-1244904,V2O5,Triclinic,P1,1,0.483608308714286,-1.805413508428572,False,0.8101,False,2.398421170984265,105,1888.8603626615645,17.98914631106252,540.3937718122925,0.2860951410144643,28.609514101446432
V-O,V2O5_1244920_POSCAR,mp-1244920,V2O5,Triclinic,P1,1,0.480857393857142,-1.808164423285716,False,0.9453,False,2.346417893848437,105,1930.7228654732394,18.38783681403085,540.3937718122925,0.27989194175718046,27.989194175718048
V-O,V2O5_1244925_POSCAR,mp-1244925,V2O5,Triclinic,P1,1,0.49800979452381,-1.791012022619048,False,0.5285000000000001,False,2.399810883694031,105,1887.7665377377339,17.978728930835562,540.3937718122925,0.286260912570201,28.626091257020096
V-O,V2O5_1244942_POSCAR,mp-1244942,V2O5,Triclinic,P1,1,0.519327439761905,-1.769694377380953,False,0.1626,False,2.421179949474257,105,1871.105319572354,17.820050662593847,540.3937718122925,0.2888099168761922,28.88099168761922
V-O,V2O5_1244961_POSCAR,mp-1244961,V2O5,Triclinic,P1,1,0.513772044142856,-1.775249773000001,False,0.8882,False,2.439309167376228,105,1857.1990557393856,17.687610054660816,540.3937718122925,0.29097245669078353,29.097245669078355
V-O,V2O5_1244978_POSCAR,mp-1244978,V2O5,Triclinic,P1,1,0.510915689380952,-1.778106127761906,False,0.1205,False,2.338902481238311,105,1936.9267071835948,18.44692102079614,540.3937718122925,0.2789954673081341,27.899546730813412
V-O,V2O5_1244985_POSCAR,mp-1244985,V2O5,Triclinic,P1,1,0.524596626809524,-1.764425190333334,False,0.5233,False,2.4618513986763872,105,1840.1933936447065,17.525651368044823,540.3937718122925,0.2936614019366643,29.36614019366643
V-O,V2O5_1244996_POSCAR,mp-1244996,V2O5,Triclinic,P1,1,0.118052153476192,-2.170969663666667,False,0.9218,False,2.297726220799555,105,1971.6372832381194,18.777497935601136,540.3937718122925,0.2740837660184517,27.40837660184517
V-O,V2O5_1245000_POSCAR,mp-1245000,V2O5,Triclinic,P1,1,0.104578884714285,-2.184442932428572,False,0.033399999999999,False,2.178502631804714,105,2079.5396880107955,19.805139885817102,540.3937718122925,0.25986220649109687,25.986220649109686
V-O,V2O5_1245005_POSCAR,mp-1245005,V2O5,Triclinic,P1,1,0.510205219285714,-1.7788165978571442,False,0.6144000000000001,False,2.5271615526972653,105,1792.6367547644134,17.072730997756317,540.3937718122925,0.3014519089693163,30.145190896931627
V-O,V2O5_1245040_POSCAR,mp-1245040,V2O5,Triclinic,P1,1,0.5244888929047611,-1.764532924238096,False,0.705199999999999,False,2.46424646065279,105,1838.4048639300504,17.508617751714766,540.3937718122925,0.29394709642851224,29.394709642851225
V-O,V2O5_1245049_POSCAR,mp-1245049,V2O5,Triclinic,P1,1,0.504379885666667,-1.784641931476191,False,0.7883,False,2.404227013225731,105,1884.2990521830554,17.945705258886242,540.3937718122925,0.2867876896643444,28.678768966434443
V-O,V2O5_1245058_POSCAR,mp-1245058,V2O5,Triclinic,P1,1,0.512848865190476,-1.776172951952382,False,0.7725000000000001,False,2.370115977969179,105,1911.418143270784,18.20398231686461,540.3937718122925,0.2827187623570322,28.271876235703218
V-O,V2O5_1245061_POSCAR,mp-1245061,V2O5,Triclinic,P1,1,0.528931059571428,-1.76009075757143,False,0.6666000000000001,False,2.478697744516442,105,1827.6866113451897,17.406539155668472,540.3937718122925,0.29567091450900274,29.567091450900275
V-O,V2O5_1245096_POSCAR,mp-1245096,V2O5,Triclinic,P1,1,0.507851763,-1.781170054142858,False,0.7321000000000001,False,2.629047739006507,105,1723.1648614845815,16.411093918900775,540.3937718122925,0.3136053803619926,31.36053803619926
V-O,V2O5_1245097_POSCAR,mp-1245097,V2O5,Triclinic,P1,1,0.490775203095237,-1.79824661404762,False,0.466699999999999,False,2.36788544798304,105,1913.2186851195647,18.221130334472043,540.3937718122925,0.28245269399432044,28.245269399432043
V-O,V2O5_1245101_POSCAR,mp-1245101,V2O5,Triclinic,P1,1,0.483080463285713,-1.805941353857144,False,0.7825000000000001,False,2.495114237676296,105,1815.6614295005595,17.292013614291044,540.3937718122925,0.29762915212718954,29.762915212718955
V-O,V2O5_1245118_POSCAR,mp-1245118,V2O5,Triclinic,P1,1,0.519167017380953,-1.769854799761906,False,0.7675000000000001,False,2.428213774846436,105,1865.6852732837624,17.76843117413107,540.3937718122925,0.28964894537713437,28.964894537713437
V-O,V2O5_1245120_POSCAR,mp-1245120,V2O5,Triclinic,P1,1,0.067549162142858,-2.221472655,False,1.8967,False,2.4950660614701072,105,1815.6964858457245,17.292347484244996,540.3937718122925,0.2976234056875343,29.76234056875343
V-O,V2O5_1245137_POSCAR,mp-1245137,V2O5,Triclinic,P1,1,0.107828397095239,-2.181193420047619,False,0.3371,False,2.390140342457997,105,1895.4044668455576,18.051471112814834,540.3937718122925,0.28510736429340977,28.510736429340977
V-O,V2O5_1245142_POSCAR,mp-1245142,V2O5,Triclinic,P1,1,0.504644946333333,-1.784376870809525,False,0.409299999999999,False,2.325045025189711,105,1948.4709460712218,18.556866153059254,540.3937718122925,0.27734248380860366,27.734248380860365
V-O,V2O5_1245153_POSCAR,mp-1245153,V2O5,Triclinic,P1,1,0.518077708904762,-1.770944108238096,False,0.6525000000000001,False,2.445220456712072,105,1852.7093006737316,17.64485048260697,540.3937718122925,0.29167758353443796,29.167758353443794
V-O,V2O5_1245156_POSCAR,mp-1245156,V2O5,Triclinic,P1,1,0.089973698142857,-2.199048119000001,False,1.8996,False,2.8127922117022197,105,1610.599838532454,15.339046081261467,540.3937718122925,0.3355232993843389,33.552329938433886
V-O,V2O5_1245160_POSCAR,mp-1245160,V2O5,Triclinic,P1,1,0.483543981952381,-1.805477835190477,False,0.5126000000000001,False,2.447735842001453,105,1850.8053861112817,17.626717962964587,540.3937718122925,0.2919776308559979,29.197763085599792
V-O,V2O5_1245162_POSCAR,mp-1245162,V2O5,Triclinic,P1,1,0.087059169190476,-2.201962647952381,False,1.5838,False,2.712395447932591,105,1670.2146735193978,15.906806414470456,540.3937718122925,0.32354749385215265,32.354749385215264
V-O,V2O5_1245171_POSCAR,mp-1245171,V2O5,Triclinic,P1,1,0.510945807857143,-1.778076009285714,False,0.9141999999999992,False,2.486934393323737,105,1821.6333701815236,17.348889239824032,540.3937718122925,0.2966534214063299,29.665342140632987
V-O,V2O5_1245174_POSCAR,mp-1245174,V2O5,Triclinic,P1,1,0.487889973666666,-1.801131843476191,False,0.7431,False,2.609510498012753,105,1736.0660870968181,16.53396273425541,540.3937718122925,0.3112748851145293,31.127488511452928
V-O,V2O5_1245198_POSCAR,mp-1245198,V2O5,Triclinic,P1,1,0.5187974480476191,-1.770224369095239,False,0.2495,False,2.26323296400511,105,2001.6864165468826,19.063680157589356,540.3937718122925,0.26996924560467767,26.996924560467768
V-O,V2O5_1245219_POSCAR,mp-1245219,V2O5,Triclinic,P1,1,0.125711480809524,-2.163310336333333,False,0.4488,False,2.831075240719602,105,1600.1986169668082,15.239986828255317,540.3937718122925,0.33770418626946075,33.770418626946075
V-O,V2O5_1245221_POSCAR,mp-1245221,V2O5,Triclinic,P1,1,0.479891181476191,-1.809130635666667,False,0.926099999999999,False,2.359376096543632,105,1920.1189199033422,18.286846856222308,540.3937718122925,0.28143765795479775,28.143765795479776
V-O,V2O5_1245240_POSCAR,mp-1245240,V2O5,Triclinic,P1,1,0.5070591328095241,-1.781962684333334,False,0.3435,False,2.239855088876282,105,2022.5784702730123,19.262652097838213,540.3937718122925,0.2671806210511817,26.718062105118168
V-O,V2O5_1245272_POSCAR,mp-1245272,V2O5,Triclinic,P1,1,0.5204448286190471,-1.7685769885238112,False,0.95,False,2.515967712903512,105,1800.612408648971,17.148689606180678,540.3937718122925,0.3001166543208256,30.011665432082562
V-O,V2O5_1245275_POSCAR,mp-1245275,V2O5,Triclinic,P1,1,0.490511339952381,-1.798510477190476,False,0.9927999999999992,False,2.253662027512913,105,2010.1872533314781,19.14464050791884,540.3937718122925,0.26882757858338785,26.882757858338785
V-O,V2O5_1245283_POSCAR,mp-1245283,V2O5,Triclinic,P1,1,0.537399236238095,-1.751622580904762,False,0.8613000000000001,False,2.373903537307231,105,1908.3684791334317,18.174937896508872,540.3937718122925,0.28317056046622563,28.317056046622564
V-O,V2O5_1245284_POSCAR,mp-1245284,V2O5,Triclinic,P1,1,0.50298275147619,-1.786039065666668,False,1.0438,False,2.388276586040625,105,1896.8835974411818,18.0655580708684,540.3937718122925,0.28488504647373275,28.488504647373276
V-O,V2O5_1245312_POSCAR,mp-1245312,V2O5,Triclinic,P1,1,0.5178822798571431,-1.771139537285715,False,0.8909,False,2.592591433576626,105,1747.3955300282385,16.64186219074513,540.3937718122925,0.3092566980548242,30.92566980548242
V-O,V2O5_1245315_POSCAR,mp-1245315,V2O5,Triclinic,P1,1,0.474258488904761,-1.814763328238096,False,1.1409,False,2.438372359014706,105,1857.9125807848684,17.69440553128446,540.3937718122925,0.2908607097025012,29.086070970250123
V-O,V2O5_1245325_POSCAR,mp-1245325,V2O5,Triclinic,P1,1,0.511939902904762,-1.777081914238096,False,1.073899999999999,False,2.396386060781244,105,1890.4644598210468,18.004423426867113,540.3937718122925,0.2858523835266634,28.58523835266634
V-O,V2O5_831269_POSCAR,mp-831269,V2O5,Monoclinic,P2/c,13,0.025970106530612,-2.263051710612245,False,2.3291,False,2.811388185680432,98,1503.9772371600122,15.346706501632777,504.3675203581384,0.3353558204847201,33.535582048472016
V-O,V3O5_1272338_POSCAR,mp-1272338,V3O5,Triclinic,P-1,2,0.007672148906252,-2.522345725624999,False,1.311799999999999,False,4.442525027641124,16,174.04930455065738,10.878081534416086,102.05745221888209,0.5863709279526484,58.63709279526484
V-O,V3O5_1274098_POSCAR,mp-1274098,V3O5,Monoclinic,C2,5,0.030766734531251,-2.49925114,False,0.2384,False,4.444691250883221,16,173.96447803276115,10.872779877047572,102.05745221888209,0.5866568472654661,58.66568472654661
V-O,V3O5_30987_POSCAR,mp-30987,V3O5,Monoclinic,C2/c,15,0.036715385156252,-2.493302489374999,False,0.0,True,4.749338272156889,32,325.6109999865584,10.17534374957995,204.11490443776393,0.6268673492179012,62.68673492179012
V-O,V3O5_622497_POSCAR,mp-622497,V3O5,Monoclinic,P2/c,13,0.011976644843752,-2.518041229687499,False,0.0,True,4.444064038144065,32,347.97806090230637,10.874314403197074,204.11490443776393,0.5865740613316093,58.657406133160926
V-O,V3O5_714911_POSCAR,mp-714911,V3O5,Monoclinic,Cc,9,0.010327505781251,-2.51969036875,False,0.9771,False,4.442145998010743,16,174.06415560344527,10.87900972521533,102.05745221888209,0.5863208991252077,58.63208991252077
V-O,V3O7_622640_POSCAR,mp-622640,V3O7,Monoclinic,C2/c,15,0.020618242333334,-2.338437482666667,False,1.1152,False,3.415487924570939,60,772.5006742564105,12.875011237606843,320.62348180122905,0.41504621612123904,41.504621612123906
V-O,V3O7_760992_POSCAR,mp-760992,V3O7,Trigonal,P-31c,163,0.130992134333334,-2.228063590666666,False,0.312,False,2.75028193686942,60,959.3440901698052,15.989068169496754,320.62348180122905,0.33421113976370903,33.421113976370904
