block,chemsys,metal_1,metal_2,ligand,source,delta_E,dip_x,dip_y,baseline_y,left_anchor,right_anchor,n_points,dip_method,material_id,formula,crystal_system,space_group_symbol,space_group_number,energy_above_hull,formation_energy,predicted_stable,band_gap,is_metal,density,n_sites,cell_volume,volume_per_atom,sphere_volume_sum,packing_fraction,packing_percent,pair
s-block,K-Mg-O,K,Mg,O,K2MgO2_755802_POSCAR,-0.1014048476586742,9.791461764,-0.15993644361937,-0.0585315959606957,8.703521568,13.327267401,35,local_max_drop,mp-755802,K2MgO2,Orthorhombic,Pbcn,60,0.0,-1.965248261399999,True,2.7608,False,2.645966906733719,20,337.6356191076174,16.88178095538087,336.93065150797287,0.9979120461238428,99.79120461238426,K-Mg
s-block,Na-K-S,Na,K,S,KNaS_28383_POSCAR,-0.1010713229012991,7.416370912,-0.14630294377628,-0.0452316208749808,6.489324548,11.356317959,35,local_max_drop,mp-28383,KNaS,Orthorhombic,Pnma,62,0.0,-1.285839426354165,True,2.4851,False,2.096890130118769,12,298.2413766636039,24.853448055300323,236.20333286346,0.7919871330592783,79.19871330592782,K-Na
s-block,K-Rb-O,K,Rb,O,KRbO_756889_POSCAR,-0.0765062439209751,15.1072716695,-0.10449305325066,-0.0279868093296849,12.4412825514,21.7722444649,35,local_max_drop,mp-756889,KRbO,Tetragonal,I4/mmm,139,0.091884004166666,-1.091639200749999,False,0.0146,False,2.268898705538341,12,411.50273304316687,34.29189442026391,323.3900688229454,0.7858758711792605,78.58758711792605,K-Rb
s-block,K-Rb-S,K,Rb,S,KRbS_28760_POSCAR,-0.0990123655642354,8.2562585985,-0.13457882954997,-0.0355664639857346,7.2554999805,12.2592930705,35,local_max_drop,mp-28760,KRbS,Orthorhombic,Pnma,62,0.0080872775,-1.176483886583332,False,2.2214,False,2.657694592867013,12,391.4551525861434,32.62126271551195,337.9692201513477,0.8633663854430281,86.33663854430282,K-Rb
s-block,K-Sr-O,K,Sr,O,K2Sr2O3_756334_POSCAR,-0.1067479725891064,11.4558416,-0.14692248811594,-0.0401745155268335,10.0238614,17.54175745,35,local_max_drop,mp-756334,K2Sr2O3,Monoclinic,P2_1/c,14,0.05533240642857,-2.230971624928571,False,2.1927,False,3.121879415192686,14,320.6685426536332,22.904895903830944,271.62706035697585,0.8470648792337918,84.70648792337919,K-Sr
s-block,Li-Na-O,Li,Na,O,NaLiO_755144_POSCAR,-0.0590997654826328,5.699603158,-0.077746204143314,-0.0186464386606811,5.02906161,8.214133963,35,local_max_drop,mp-755144,NaLiO,Hexagonal,P6_3/mmc,194,0.069303446666666,-1.674364853237547,False,2.8819,False,2.326659196666336,6,65.5608182808961,10.926803046816016,58.29911292571404,0.8892371153137657,88.92371153137657,Li-Na
s-block,Li-Na-S,Li,Na,S,NaLiS_8452_POSCAR,-0.0587815826525869,6.013891455,-0.0846470418399,-0.025865459187313,5.212039261,9.8226893765,35,local_max_drop,mp-8452,NaLiS,Tetragonal,P4/nmm,129,0.0,-1.36703557407088,True,2.264199999999999,False,1.976851617557677,6,104.1518705187862,17.358645086464367,65.58868858991521,0.6297408607566464,62.97408607566464,Li-Na
s-block,Li-Rb-O,Li,Rb,O,RbLi2O3_1095542_POSCAR,-0.0696044569504817,9.2012432,-0.092864845704354,-0.0232603887538722,8.0510878,14.08940365,35,local_max_drop,mp-1095542,RbLi2O3,Monoclinic,P2_1/m,11,0.328233001666666,-1.188696103194444,False,0.0,True,2.461795499729973,12,198.77939545103703,16.56494962091975,131.56815779561538,0.661880259254652,66.1880259254652,Li-Rb
s-block,Na-Mg-O,Na,Mg,O,Na4MgO3_754369_POSCAR,-0.115570912953621,9.24127321,-0.18079704871819,-0.0652261357645689,8.0488508603,14.6071737836,35,local_max_drop,mp-754369,Na4MgO3,Monoclinic,Cc,9,0.070125490624999,-1.758755816314655,False,1.658999999999999,False,2.189288940893069,16,249.1803833571228,15.573773959820176,183.99590213434308,0.7384044428194093,73.84044428194093,Mg-Na
s-block,Rb-Mg-O,Rb,Mg,O,Rb2MgO2_1541753_POSCAR,-0.0863639753520125,19.706438466,-0.14382464208546,-0.0574606667334474,18.0642352605,26.8226523565,35,local_max_drop,mp-1541753,Rb2MgO2,Orthorhombic,Ibam,72,0.0,-1.9010544184999991,True,2.311099999999999,False,3.974967516491585,20,379.7162111189221,18.985810555946102,413.4204069008522,1.088761540316156,108.87615403161558,Mg-Rb
